Subzone,Population
Admiralty,13530
Airport Road,0
Alexandra Hill,12880
Alexandra North,2880
Aljunied,43210
Anak Bukit,22960
Anchorvale,51310
Ang Mo Kio Town Centre,4850
Anson,80
Bahar,0
Balestier,32690
Bangkit,21010
Bayfront Subzone,0
Bayshore,8000
Bedok North,81550
Bedok Reservoir,25190
Bedok South,48360
Bencoolen,1340
Bendemeer,36790
Benoi Sector,0
Bidadari,7550
Bishan East,27460
Boat Quay,150
Boon Keng,11980
Boon Lay Place,29510
Boon Teck,14600
Boulevard,540
Braddell,9530
Bras Basah,20
Brickland,0
Brickworks,31090
Bugis,1150
Bukit Batok Central,27320
Bukit Batok East,12070
Bukit Batok South,14520
Bukit Batok West,14350
Bukit Ho Swee,13430
Bukit Merah,1000
Cairnhill,4630
Cecil,540
Central Subzone,1420
Central Water Catchment,0
Changi Airport,0
Changi Bay,0
Changi Point,560
Changi West,1390
Chatsworth,7720
Cheng San,26970
Chin Bee,0
China Square,1310
Chinatown,10080
Choa Chu Kang Central,21980
Choa Chu Kang North,30790
Chong Boon,25190
City Hall,140
City Terminals,20
Clarke Quay,120
Cleantech,0
Clementi Central,14510
Clementi North,30800
Clementi West,14540
Clementi Woods,18860
Clifford Pier,0
Commonwealth,6550
Compassvale,21580
Coney Island,0
Coronation Road,7480
Crawford,7700
Dairy Farm,7860
Defu Industrial Park,10
Depot Road,6530
Dhoby Ghaut,540
Dover,11290
Dunearn,4020
East Coast,0
Everton Park,7510
Faber,8060
Fajar,26420
Farrer Court,7330
Farrer Park,2570
Fernvale,69010
Flora Drive,16290
Forest Hill,0
Fort Canning,210
Frankel,35030
Gali Batu,40
Garden,280
Geylang Bahru,10400
Geylang East,32820
Ghim Moh,13160
Gombak,9770
Goodwood Park,1480
Greenwood Park,100
Guilin,12830
Gul Basin,0
Gul Circle,20
Henderson Hill,12770
Hillcrest,9870
Hillview,20660
Holland Drive,12010
Holland Road,11640
Hong Kah,52260
Hong Kah North,25140
Hougang Central,4720
Hougang East,23800
Hougang West,43700
Institution Hill,3760
International Business Park,10
Istana Negara,50
Jelebu,29960
Joo Koon,20
Joo Seng,7920
Jurong Gateway,580
Jurong Island And Bukom,10
Jurong Port,0
Jurong River,0
Jurong West Central,61900
Kaki Bukit,35440
Kallang Bahru,20
Kallang Way,40
Kampong Bugis,1630
Kampong Glam,130
Kampong Java,10390
Kampong Tiong Bahru,9800
Kampong Ubi,13690
Kangkar,35000
Katong,9450
Keat Hong,39370
Kebun Bahru,21980
Kembangan,35890
Kent Ridge,2250
Khatib,9810
Kian Teck,40
Kim Keat,8710
Kovan,27280
Kranji,0
Lakeside (Business),0
Lakeside (Leisure),550
Lavender,10190
Leedon Park,6900
Leonie Hill,3850
Lim Chu Kang,40
Little India,3030
Liu Fang,10
Lorong 8 Toa Payoh,6720
Lorong Ah Soo,31590
Lorong Chuan,8550
Lorong Halus,0
Lorong Halus North,0
Lower Seletar,19150
Loyang East,2050
Loyang West,540
Mackenzie,130
Macpherson,26850
Malcolm,3210
Mandai East,0
Mandai Estate,2110
Mandai West,0
Margaret Drive,24160
Marina Centre,20
Marina East,0
Marina East (Mp),0
Marina South,0
Marine Parade,27140
Maritime Square,4820
Marymount,28800
Matilda,52960
Maxwell,0
Mei Chin,16480
Midview,34380
Monk's Hill,1170
Moulmein,11230
Mount Emily,2070
Mount Pleasant,700
Mountbatten,10100
Murai,600
Nassim,10580
National University Of S'pore,290
Nature Reserve,3980
Nee Soon,1050
Newton Circus,310
Nicoll,310
North Coast,11430
North-Eastern Islands,40
Northland,27080
Northshore,18420
One North,1010
One Tree Hill,2320
Orange Grove,2100
Oxley,1630
Pandan,20
Pang Sua,20
Park,0
Pasir Panjang 1,4750
Pasir Panjang 2,3540
Pasir Ris Central,31730
Pasir Ris Drive,51680
Pasir Ris Park,7890
Pasir Ris Wafer Fab Park,10
Pasir Ris West,34970
Paterson,320
Paya Lebar East,0
Paya Lebar North,20
Paya Lebar West,0
Pearl's Hill,5110
Pei Chun,9960
Peng Siang,33860
Penjuru Crescent,10
People's Park,280
Phillip,10
Pioneer Sector,10
Plab,0
Plantation,7700
Port,120
Potong Pasir,12920
Pulau Punggol Barat,0
Pulau Punggol Timor,0
Pulau Seletar,0
Punggol Canal,0
Punggol Field,48540
Punggol Town Centre,25220
Queensway,270
Raffles Place,40
Redhill,10980
Reservoir View,10
Ridout,1510
Rivervale,62660
Robertson Quay,4110
Rochor Canal,0
Safti,0
Samulun,0
Saujana,25000
Selegie,60
Seletar,290
Seletar Aerospace Park,10
Seletar Hills,15390
Semakau,0
Sembawang Central,35400
Sembawang East,23480
Sembawang Hills,6950
Sembawang North,25730
Sembawang Springs,9540
Sembawang Straits,2370
Sengkang Town Centre,60500
Sengkang West,0
Senja,23830
Sennett,16580
Senoko North,10
Senoko South,30
Senoko West,30
Sentosa,2480
Serangoon Central,22590
Serangoon Garden,37450
Serangoon North,15200
Serangoon North Ind Estate,10
Shangri-La,17460
Shipyard,0
Siglap,7390
Simei,38470
Simpang North,0
Simpang South,0
Singapore General Hospital,0
Singapore Polytechnic,160
Somerset,170
Southern Group,0
Springleaf,4370
Straits View,0
Sudong,0
Sungei Road,1900
Sunset Way,5470
Swiss Club,6110
Tagore,7980
Tai Seng,12950
Taman Jurong,39010
Tampines East,128250
Tampines North,32830
Tampines West,83260
Tanglin,580
Tanglin Halt,5880
Tanjong Irau,0
Tanjong Pagar,940
Tanjong Rhu,11460
Teban Gardens,17480
Teck Whye,24560
Telok Blangah Drive,19100
Telok Blangah Rise,11530
Telok Blangah Way,8330
Tengah Industrial Estate,0
Tengeh,0
The Wharves,0
Tiong Bahru,12130
Tiong Bahru Station,14570
Toa Payoh Central,27430
Toa Payoh West,13960
Toh Guan,13830
Toh Tuck,20
Townsville,20010
Trafalgar,49090
Tuas Bay,10
Tuas North,20
Tuas Promenade,10
Tuas View,10
Tuas View Extension,10
Tukang,10
Turf Club,680
Tyersall,4220
Ulu Pandan,11290
Upper Paya Lebar,18430
Upper Thomson,31670
Victoria,1690
Waterway East,54260
Wenya,8180
West Coast,10120
Woodgrove,32670
Woodlands East,99870
Woodlands Regional Centre,0
Woodlands South,40150
Woodlands West,36550
Woodleigh,3420
Xilin,1760
Yew Tee,39620
Yio Chu Kang,10
Yio Chu Kang East,4380
Yio Chu Kang North,0
Yio Chu Kang West,23570
Yishun Central,2880
Yishun East,71930
Yishun South,41490
Yishun West,51760
Yuhua East,23530
Yuhua West,18550
Yunnan,66560
